miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.123630	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	3	0.370890	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	2	0.247260	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	13	1.607191	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	140	17.308208	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	3665	453.104153	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	8597	1062.847586	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	41236	5098.008963	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	752	92.969802	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	14	1.730821	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.123630	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	9	1.112670	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.123630	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	7	0.865410	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	13	1.607191	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	62	7.665063	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	84	10.384925	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	8	0.989040	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	0.247260	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	5	0.618150	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	26	3.214381	N	mature,MIMAT0004481
