miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	3	0.980978	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	2	0.653985	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.326993	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	3	0.980978	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	13	4.250903	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	47	15.368648	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	961	314.239805	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	4550	1487.815932	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	24996	8173.504843	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	479	156.629413	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	21	6.866843	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175991:+	1	0.326993	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.326993	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	4	1.307970	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.326993	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	3	0.980978	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.326993	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.326993	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	7	2.288948	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	35	11.444738	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	58	18.965566	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	2	0.653985	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.326993	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	8	2.615940	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.326993	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	21	6.866843	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	6	1.961955	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	1	0.326993	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.326993	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	3	0.980978	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	510	166.766181	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.326993	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	1	0.326993	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	25092	8204.896124	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	4	1.307970	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.326993	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	4534	1482.584052	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	5	1.634963	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	907	296.582209	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	39	12.752708	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	4	1.307970	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.326993	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	3	0.980978	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.326993	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	2	0.653985	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	27	8.828798	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	104	34.007221	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	97	31.718274	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	5	1.634963	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	44	14.387671	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	960	313.912812	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	4575	1495.990745	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	25059	8194.105371	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	489	159.899339	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112777:+	1	0.326993	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	8	2.615940	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	1	0.326993	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112818:+	2	0.653985	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	4	1.307970	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	34	11.117745	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	62	20.273536	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	6	1.961955	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	2	0.653985	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112824:+	1	0.326993	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112825:+	1	0.326993	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	11	3.596918	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	26	8.501805	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	619	202.408365	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	9784	3199.294743	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	7901	2583.567841	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	29759	9730.970180	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	5397	1764.778590	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	10	3.269925	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113716:+	1	0.326993	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	3	0.980978	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	8	2.615940	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	1	0.326993	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	1	0.326993	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	3	0.980978	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	4	1.307970	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113717:+	1	0.326993	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113713:+	1	0.326993	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113714:+	1	0.326993	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	4	1.307970	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113763:+	2	0.653985	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113764:+	1	0.326993	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	24	7.847820	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	80	26.159401	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	3	0.980978	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539858:+	2	0.653985	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539860:+	1	0.326993	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	6	1.961955	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	7	2.288948	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	4	1.307970	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	2	0.653985	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	20	6.539850	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	102	33.353236	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	176	57.550682	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	948	309.988902	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	66	21.581506	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539905:+	3	0.980978	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178840-94178863:+	1	0.326993	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178857:+	5	1.634963	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178859:+	1	0.326993	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	41	13.406693	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	102	33.353236	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	539	176.248964	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	33	10.790753	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	1	0.326993	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	5	1.634963	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178864:+	1	0.326993	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178847-94178864:+	1	0.326993	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178910:+	2	0.653985	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178911:+	3	0.980978	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178912:+	1	0.326993	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178913:+	2	0.653985	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178914:+	4	1.307970	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	34	11.117745	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	172	56.242712	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	979	320.125670	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	3	0.980978	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178912:+	1	0.326993	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	1	0.326993	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	7	2.288948	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	45	14.714663	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178918:+	1	0.326993	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178900-94178916:+	1	0.326993	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692773-51692793:+	1	0.326993	N	precursor
hsa-let-7e	hg38:chr19:51692775-51692793:+	2	0.653985	N	precursor
hsa-let-7e	hg38:chr19:51692776-51692793:+	1	0.326993	N	precursor
hsa-let-7e	hg38:chr19:51692793-51692810:+	2	0.653985	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692811:+	4	1.307970	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	3	0.980978	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	126	41.201057	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	604	197.503478	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	3027	989.806335	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	185	60.493615	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	21	6.866843	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692837-51692859:+	1	0.326993	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692858:+	1	0.326993	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	7	2.288948	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	20	6.539850	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176330-94176353:+	1	0.326993	N	precursor
hsa-let-7f-1	hg38:chr9:94176352-94176374:+	1	0.326993	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176352-94176375:+	2	0.653985	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176369:+	5	1.634963	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176370:+	2	0.653985	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	13	4.250903	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	12	3.923910	N	mature,MIMAT0000067
