miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175961:+	1	0.131296	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	3	0.393887	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.131296	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	11	1.444252	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	23	3.019801	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	17	2.232027	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.131296	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	1237	162.412752	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	27104	3558.638028	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	39167	5142.457779	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	44883	5892.943868	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	715	93.876409	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	20	2.625914	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175981:+	1	0.131296	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	13	1.706844	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	35	4.595349	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	48	6.302192	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.131296	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175982:+	1	0.131296	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	4	0.525183	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	9	1.181661	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	4	0.525183	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	43	5.645714	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	97	12.735681	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	5	0.656478	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	2	0.262591	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	10	1.312957	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	21	2.757209	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	2	0.262591	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	3	0.393887	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.131296	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	2	0.262591	N	stemloop
hsa-let-7a-1	hg38:chr9:94176010-94176032:+	1	0.131296	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.131296	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	19	2.494618	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	41	5.383123	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	20	2.625914	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.131296	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.262591	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.131296	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176016-94176035:+	1	0.131296	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	12	1.575548	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	3	0.393887	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.131296	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	17	2.232027	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.131296	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	648	85.079599	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.131296	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	24	3.151096	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	83	10.897541	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	4	0.525183	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	45	5.908305	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	45199	5934.433302	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	3	0.393887	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	12	1.575548	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	43	5.645714	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	4	0.525183	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	32	4.201462	N	mature,MIMAT0000062
