miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.434783	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	3	1.304348	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	2	0.869565	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.434783	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	198	86.086957	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	4798	2086.086957	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	7370	3204.347826	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	11721	5096.086957	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	149	64.782609	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	1	0.434783	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	2	0.869565	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	4	1.739130	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	16	6.956522	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	2	0.869565	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	15	6.521739	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	31	13.478261	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.434783	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	8	3.478261	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.869565	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.434783	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	5	2.173913	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	16	6.956522	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	12	5.217391	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.434783	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	0.869565	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	1	0.434783	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	3	1.304348	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.434783	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	2	0.869565	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	123	53.478261	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	3	1.304348	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	13	5.652174	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	33	14.347826	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.434783	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	16	6.956522	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	11700	5086.956522	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	3	1.304348	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	16	6.956522	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	5	2.173913	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	7370	3204.347826	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	2	0.869565	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	2	0.869565	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	4733	2057.826087	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.434783	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	162	70.434783	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.434783	Y	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112750-46112772:+	1	0.434783	N	mature,MIMAT0000062
