miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.142912	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	9	1.286209	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	18	2.572419	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	2	0.285824	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	98	14.005390	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	4183	597.801497	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	8779	1254.625709	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	29122	4161.887446	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1267	181.069686	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	62	8.860553	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	1	0.142912	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	2	0.285824	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.142912	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	2	0.285824	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	4	0.571649	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	4	0.571649	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.142912	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.142912	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.142912	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176010:+	1	0.142912	N	stemloop
hsa-let-7a-1	hg38:chr9:94176012-94176035:+	1	0.142912	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.142912	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	32	4.573189	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	120	17.149457	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	64	9.146377	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	0.285824	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.142912	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	6	0.857473	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	3	0.428736	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	2	0.285824	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	5	0.714561	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	2	0.285824	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	4	0.571649	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146561-122146585:-	1	0.142912	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	25	3.572804	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1296	185.214138	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	3	0.428736	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	2	0.285824	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	4	0.571649	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	29231	4177.464870	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	8	1.143297	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.142912	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	9046	1292.783251	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	5	0.714561	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	4114	587.940559	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	84	12.004620	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.142912	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	2	0.285824	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146614:-	1	0.142912	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.142912	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.142912	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	29	4.144452	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	94	13.433741	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	76	10.861323	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	3	0.428736	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	88	12.576269	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	4134	590.798802	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	8878	1268.774011	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	29333	4192.041909	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1258	179.783477	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	8	1.143297	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112777:+	2	0.285824	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112780:+	1	0.142912	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	1	0.142912	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	2	0.285824	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	4	0.571649	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	1	0.142912	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	1	0.142912	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112784:+	1	0.142912	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	3	0.428736	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	25	3.572804	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	109	15.577424	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	75	10.718411	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	3	0.428736	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112820:+	1	0.142912	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.142912	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	4	0.571649	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112822:+	1	0.142912	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	2	0.285824	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113665-46113691:+	1	0.142912	N	precursor
hsa-let-7b	hg38:chr22:46113671-46113691:+	1	0.142912	N	precursor
hsa-let-7b	hg38:chr22:46113672-46113691:+	1	0.142912	N	precursor
hsa-let-7b	hg38:chr22:46113691-46113708:+	12	1.714946	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	32	4.573189	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	798	114.043891	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	18537	2649.162406	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	9309	1330.369145	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	33091	4729.105744	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	9745	1392.678840	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	13	1.857858	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113716:+	2	0.285824	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	1	0.142912	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	1	0.142912	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	3	0.428736	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	5	0.714561	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	2	0.285824	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	1	0.142912	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113713:+	1	0.142912	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	2	0.285824	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	31	4.430276	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	117	16.720721	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	2	0.285824	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	1	0.142912	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539858:+	2	0.285824	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	1	0.142912	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539860:+	1	0.142912	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	3	0.428736	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	7	1.000385	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	14	2.000770	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	9	1.286209	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	2	0.285824	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	80	11.432971	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	446	63.738816	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	417	59.594364	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	1972	281.822747	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	118	16.863633	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	1	0.142912	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539904:+	2	0.285824	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	7	1.000385	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178840-94178863:+	1	0.142912	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	2	0.285824	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	83	11.861708	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	148	21.150997	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	457	65.310850	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	63	9.003465	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	2	0.285824	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	2	0.285824	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	10	1.429121	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178893-94178917:+	1	0.142912	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178914:+	1	0.142912	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	66	9.432201	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	216	30.869023	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	824	117.759606	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	4	0.571649	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	4	0.571649	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	8	1.143297	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	54	7.717256	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178918:+	1	0.142912	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692792-51692814:+	1	0.142912	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692811:+	5	0.714561	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	6	0.857473	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	238	34.013090	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	965	137.910219	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	2787	398.296144	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	152	21.722646	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	26	3.715716	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692822:+	1	0.142912	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692817:+	1	0.142912	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692796-51692815:+	1	0.142912	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692837-51692859:+	3	0.428736	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692858:+	5	0.714561	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	14	2.000770	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	42	6.002310	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692839-51692859:+	1	0.142912	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176353-94176369:+	2	0.285824	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176370:+	4	0.571649	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	9	1.286209	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	15	2.143682	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	1199	171.351660	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	3950	564.502967	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	17597	2514.824991	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	116	16.577809	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176377:+	5	0.714561	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176379:+	2	0.285824	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176382:+	1	0.142912	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176374:+	1	0.142912	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176375:+	2	0.285824	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176355-94176377:+	2	0.285824	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176375:+	3	0.428736	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176357-94176375:+	1	0.142912	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176379:+	11	1.572034	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176380:+	3	0.428736	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176381:+	3	0.428736	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176359-94176381:+	1	0.142912	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176404-94176429:+	1	0.142912	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176407-94176429:+	2	0.285824	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176429:+	2	0.285824	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176430:+	23	3.286979	N	mature,MIMAT0004486
hsa-let-7f-2	hg38:chrX:53557197-53557218:-	3	0.428736	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557198-53557218:-	2	0.285824	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557222-53557246:-	1	0.142912	N	stemloop
hsa-let-7f-2	hg38:chrX:53557224-53557246:-	1	0.142912	N	stemloop
hsa-let-7f-2	hg38:chrX:53557238-53557268:-	1	0.142912	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557244-53557268:-	17	2.429506	N	mature,MIMAT0000067
