miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	1.018166	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	6	6.108997	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	39	39.708479	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	858	873.586531	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	1836	1869.352996	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	4273	4350.623830	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	58	59.053635	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	2	2.036332	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	4	4.072664	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	5	5.090831	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	42	42.762977	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	2.036332	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	1.018166	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	11	11.199827	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	3	3.054498	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	1.018166	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	17	17.308824	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	23	23.417821	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	13	13.236160	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	3	3.054498	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	1.018166	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	2.036332	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	1.018166	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	3	3.054498	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146544:-	1	1.018166	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	1	1.018166	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146584:-	1	1.018166	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	2	2.036332	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	1.018166	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	68	69.235296	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	1.018166	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	4	4.072664	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	11	11.199827	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	35	35.635814	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	4256	4333.315006	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	1	1.018166	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	2	2.036332	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	4	4.072664	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	1846	1879.534657	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	3	3.054498	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	802	816.569228	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146589:-	1	1.018166	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	45	45.817475	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	2	2.036332	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	24	24.435987	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	38	38.690313	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	23	23.417821	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	50	50.908306	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	837	852.205042	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	1769	1801.135866	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	4248	4325.169677	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	72	73.307961	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112771:+	1	1.018166	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	3	3.054498	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	3	3.054498	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	42	42.762977	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	4	4.072664	N	mature,MIMAT0000062
