miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175961:+	1	0.108843	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	5	0.544215	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.108843	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.108843	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	12	1.306116	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	20	2.176861	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	23	2.503390	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	1316	143.237440	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	32155	3499.847946	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	54060	5884.054734	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	74488	8107.500352	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	945	102.856673	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	12	1.306116	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	1	0.108843	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175981:+	1	0.108843	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	12	1.306116	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	30	3.265291	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	57	6.204053	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	3	0.326529	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	2	0.217686	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	2	0.217686	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	3	0.326529	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	40	4.353722	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	62	6.748268	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	4	0.435372	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	15	1.632646	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	4	0.435372	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175985:+	1	0.108843	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.108843	N	stemloop
