miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	4	1.014330	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	4	1.014330	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	22	5.578815	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	29	7.353892	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2003	507.925721	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	4255	1078.993480	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	23688	6006.861942	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	555	140.738280	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	24	6.085980	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.253582	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	6	1.521495	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.253582	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.253582	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175990:+	3	0.760747	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176009:+	1	0.253582	N	stemloop
hsa-let-7a-1	hg38:chr9:94176008-94176029:+	1	0.253582	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176012-94176034:+	1	0.253582	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	8	2.028660	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	35	8.875387	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	40	10.143299	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.253582	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.253582	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	4	1.014330	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	2	0.507165	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146521-122146545:-	1	0.253582	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	36	9.128970	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	7	1.775077	N	mature,MIMAT0010195
