miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	3	0.621450	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	14	2.900101	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	7	1.450051	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	7	1.450051	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	561	116.211192	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	13567	2810.405065	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	17986	3725.801246	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	24013	4974.294747	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	312	64.630823	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	9	1.864351	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	9	1.864351	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	7	1.450051	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	23	4.764452	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	3	0.621450	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	4	0.828600	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	2	0.414300	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	31	6.421652	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	43	8.907453	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.207150	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	4	0.828600	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	11	2.278651	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.207150	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.207150	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	9	1.864351	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	10	2.071501	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	15	3.107251	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.414300	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.207150	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	2	0.414300	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	3	0.621450	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	3	0.621450	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.207150	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.207150	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	312	64.630823	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	2	0.414300	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	21	4.350152	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	43	8.907453	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	7	1.450051	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	18	3.728701	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	23984	4968.287395	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	3	0.621450	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	6	1.242900	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	21	4.350152	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	5	1.035750	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	10	2.071501	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	18167	3763.295410	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	2	0.414300	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	1	0.207150	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	6	1.242900	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	13437	2783.475556	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	3	0.621450	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	571	118.282693	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.207150	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	2	0.414300	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	2	0.414300	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112769:+	1	0.207150	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	11	2.278651	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	3	0.621450	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	72	14.914805	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	82	16.986306	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	20	4.143001	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	597	123.668595	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	13514	2799.426111	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	18062	3741.544652	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	23921	4955.236940	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	312	64.630823	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	7	1.450051	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	18	3.728701	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	35	7.250253	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.207150	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	1	0.207150	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	5	1.035750	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	1	0.207150	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	33	6.835952	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	39	8.078853	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	8	1.657201	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	15	3.107251	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	4	0.828600	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	11	2.278651	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	11	2.278651	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	11	2.278651	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112820:+	3	0.621450	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113672-46113691:+	1	0.207150	N	precursor
hsa-let-7b	hg38:chr22:46113691-46113708:+	47	9.736054	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	209	43.294366	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	4656	964.490748	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	84329	17468.758661	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	20652	4278.063346	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	22973	4758.858669	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	1835	380.120387	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	1	0.207150	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113710:+	2	0.414300	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	66	13.671905	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	13	2.692951	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	25	5.178752	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	5	1.035750	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113711:+	1	0.207150	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113712:+	1	0.207150	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113713:+	3	0.621450	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	10	2.071501	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	4	0.828600	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	45	9.321753	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	19	3.935851	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113711:+	1	0.207150	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113712:+	1	0.207150	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	24	4.971602	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	9	1.864351	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	3	0.621450	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113762:+	3	0.621450	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	24	4.971602	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	82	16.986306	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	5	1.035750	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	6	1.242900	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	11	2.278651	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	3	0.621450	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	1	0.207150	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	33	6.835952	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	198	41.015715	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	118	24.443709	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	41	8.493153	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	1	0.207150	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	2156	446.615561	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	10002	2071.915049	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	6506	1347.718387	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	14215	2944.638314	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	283	58.623471	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	1	0.207150	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539857:+	3	0.621450	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539858:+	14	2.900101	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	10	2.071501	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	27	5.593052	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539857:+	2	0.414300	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539858:+	1	0.207150	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	15	3.107251	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539861:+	2	0.414300	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539858:+	1	0.207150	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539859:+	2	0.414300	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	8	1.657201	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539843-16539860:+	5	1.035750	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539866-16539887:+	2	0.414300	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539880-16539899:+	1	0.207150	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539902:+	2	0.414300	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	6	1.242900	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	18	3.728701	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	62	12.843305	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	1	0.207150	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539905:+	2	0.414300	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178822-94178841:+	1	0.207150	N	precursor
hsa-let-7d	hg38:chr9:94178841-94178857:+	2	0.414300	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178859:+	3	0.621450	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	1	0.207150	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	127	26.308060	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	132	27.343810	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	150	31.072511	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	9	1.864351	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178861:+	1	0.207150	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	8	1.657201	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178863:+	3	0.621450	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178844-94178862:+	4	0.828600	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178844-94178863:+	2	0.414300	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178913:+	3	0.621450	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178914:+	2	0.414300	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	29	6.007352	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	124	25.686609	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	257	53.237569	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	1	0.207150	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178914:+	1	0.207150	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	2	0.414300	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	15	3.107251	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	47	9.736054	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178898-94178917:+	1	0.207150	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692793-51692810:+	2	0.414300	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692811:+	36	7.457403	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	15	3.107251	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	325	67.323774	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	922	190.992369	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	951	196.999721	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	16	3.314401	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	3	0.621450	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692815:+	1	0.207150	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692838-51692857:+	1	0.207150	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692858:+	3	0.621450	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	5	1.035750	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	5	1.035750	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692839-51692859:+	1	0.207150	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692839-51692860:+	1	0.207150	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176352-94176374:+	1	0.207150	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176352-94176375:+	1	0.207150	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176369:+	5	1.035750	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176370:+	15	3.107251	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	241	49.923168	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	60	12.429004	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	1721	356.505279	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	4056	840.200704	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	8501	1760.982786	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	23	4.764452	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176373:+	1	0.207150	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176374:+	1	0.207150	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176375:+	7	1.450051	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176374:+	3	0.621450	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176375:+	22	4.557302	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176357-94176375:+	1	0.207150	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176379:+	7	1.450051	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176380:+	3	0.621450	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176409-94176429:+	5	1.035750	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176430:+	4	0.828600	N	mature,MIMAT0004486
hsa-let-7f-2	hg38:chrX:53557197-53557218:-	1	0.207150	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557245-53557268:-	149	30.865361	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557264:-	6	1.242900	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557265:-	16	3.314401	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557266:-	2	0.414300	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557267:-	8	1.657201	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557268:-	8484	1757.461235	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557269:-	4	0.828600	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557264:-	2	0.414300	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557265:-	5	1.035750	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557267:-	4	0.828600	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557268:-	4063	841.650754	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557269:-	3	0.621450	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557267:-	2	0.414300	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557268:-	1780	368.727133	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557269:-	1	0.207150	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557249-53557268:-	69	14.293355	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557250-53557268:-	194	40.187115	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557251-53557268:-	22	4.557302	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557252-53557268:-	12	2.485801	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557268-53557286:-	1	0.207150	N	precursor
hsa-let-7f-2	hg38:chrX:53557268-53557287:-	5	1.035750	N	precursor
hsa-let-7g	hg38:chr3:52268279-52268301:-	2	0.414300	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268280-52268301:-	34	7.043103	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268281-52268301:-	2	0.414300	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268335-52268358:-	18	3.728701	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268355:-	12	2.485801	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268357:-	5	1.035750	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268358:-	721	149.355204	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268359:-	1	0.207150	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268355:-	1	0.207150	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268358:-	265	54.894770	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268359:-	1	0.207150	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268338-52268355:-	2	0.414300	N	mature,MIMAT0000414
