miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175941-94175962:+	1	0.339523	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	4	1.358092	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.339523	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.339523	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	3	1.018569	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	4	1.358092	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	9	3.055707	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	713	242.079863	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	10783	3661.075969	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	25803	8760.710676	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	41868	14215.146866	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	316	107.289252	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	5	1.697615	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	13	4.413798	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	40	13.580918	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	94	31.915157	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	2	0.679046	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	4	1.358092	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	3	1.018569	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	31	10.525211	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	56	19.013285	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.339523	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	2	0.679046	N	mature,MIMAT0000062
