miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.337098	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	1	0.168549	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	20	3.370985	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	46	7.753265	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1629	274.566727	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	5629	948.763725	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	31165	5252.837358	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	682	114.950588	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	17	2.865337	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	4	0.674197	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	2	0.337098	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	10	1.685492	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	2	0.337098	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.168549	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.168549	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	28	4.719379	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	124	20.900107	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	172	28.990471	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	4	0.674197	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	0.337098	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	3	0.505648	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	4	0.674197	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.168549	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	17	2.865337	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	6	1.011295	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.168549	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	6	1.011295	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	742	125.063543	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	1	0.168549	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	13	2.191140	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.168549	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	4	0.674197	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	31034	5230.757406	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	7	1.179845	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	2	0.337098	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	5582	940.841910	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	4	0.674197	N	mature,MIMAT0000062
