miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175938-94175962:+	1	0.857204	N	precursor
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	3	2.571613	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.857204	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	2	1.714409	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	12	10.286452	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	97	83.148820	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1986	1702.407801	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	3741	3206.801402	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	8215	7041.933579	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	132	113.150972	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	4	3.428817	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	7	6.000430	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	17	14.572474	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	68	58.289895	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.857204	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	4	3.428817	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	15	12.858065	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.857204	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.857204	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	5	4.286022	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.857204	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.857204	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	2	1.714409	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	7	6.000430	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	11	9.429248	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	9	7.714839	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.857204	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176016-94176036:+	1	0.857204	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	1	0.857204	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.857204	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	2	1.714409	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146584:-	1	0.857204	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.857204	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	2	1.714409	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	114	97.721294	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	5	4.286022	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	25	21.430108	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	59	50.575056	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	8328	7138.797668	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	3	2.571613	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	10	8.572043	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	3847	3297.665061	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	3	2.571613	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	1938	1661.261993	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	107	91.720863	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	6	5.143226	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	8	6.857635	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	4	3.428817	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.857204	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	97	83.148820	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	1933	1656.975972	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	3697	3169.084411	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	8274	7092.508634	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	112	96.006885	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112771:+	1	0.857204	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	2	1.714409	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	13	11.143656	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	64	54.861077	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	5	4.286022	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	22	18.858495	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	3	2.571613	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	5	4.286022	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112777:+	1	0.857204	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112759-46112775:+	2	1.714409	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	1	0.857204	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	11	9.429248	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	15	12.858065	N	mature,MIMAT0004481
