miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.233737	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	3	0.701211	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	8	1.869895	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	11	2.571106	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	65	15.192897	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	3075	718.740906	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	4784	1118.197234	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	20187	4718.446398	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	397	92.793541	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	11	2.571106	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175988:+	1	0.233737	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	3	0.701211	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.233737	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.233737	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.233737	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.233737	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	7	1.636158	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.233737	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.233737	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	23	5.375948	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	111	25.944794	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	120	28.048426	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	7	1.636158	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	2	0.467474	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	4	0.934948	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	9	2.103632	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	3	0.701211	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.233737	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	44	10.284423	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	9	2.103632	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	1	0.233737	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	4	0.934948	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	6	1.402421	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.233737	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	413	96.533331	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146591:-	1	0.233737	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	3	0.701211	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	12	2.804843	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.233737	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	6	1.402421	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	19872	4644.819280	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	18	4.207264	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	2	0.467474	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	4897	1144.609502	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	12	2.804843	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.233737	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	3048	712.430010	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	8	1.869895	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	81	18.932687	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	3	0.701211	N	precursor
hsa-let-7a-3	hg38:chr22:46112750-46112772:+	1	0.233737	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112769:+	1	0.233737	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	2	0.467474	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.233737	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	43	10.050686	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	93	21.737530	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	104	24.308636	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	3	0.701211	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	77	17.997740	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	2968	693.731060	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	4687	1095.524757	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	19908	4653.233808	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	402	93.962226	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	3	0.701211	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112778:+	1	0.233737	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	0.233737	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	2	0.467474	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	1	0.233737	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	1	0.233737	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112775:+	1	0.233737	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	1	0.233737	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	10	2.337369	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	2	0.467474	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112818:+	1	0.233737	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	1	0.233737	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	33	7.713317	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	124	28.983373	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	129	30.152058	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	2	0.467474	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	3	0.701211	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	9	2.103632	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	3	0.701211	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	2	0.467474	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113671-46113691:+	1	0.233737	N	precursor
hsa-let-7b	hg38:chr22:46113672-46113691:+	1	0.233737	N	precursor
hsa-let-7b	hg38:chr22:46113690-46113713:+	1	0.233737	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	12	2.804843	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	28	6.544633	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	1108	258.980463	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	24163	5647.784233	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	9827	2296.932320	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	37635	8796.687481	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	5503	1286.254051	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	6	1.402421	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	4	0.934948	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	1	0.233737	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	10	2.337369	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	5	1.168684	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113712:+	1	0.233737	N	mature,MIMAT0000063
