miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.623272	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	2	0.623272	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	14	4.362902	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.311636	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	36	11.218892	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1087	338.748215	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	3079	959.526912	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	17359	5409.687451	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	407	126.835808	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	16	4.986174	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	2	0.623272	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	0.623272	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	7	2.181451	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	18	5.609446	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	47	14.646887	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	3	0.934908	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.311636	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	3	0.934908	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	2	0.623272	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146545-122146568:-	1	0.311636	N	stemloop
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	9	2.804723	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.311636	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	396	123.407813	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	1	0.311636	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	4	1.246544	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	17367	5412.180538	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.311636	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.311636	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	3042	947.996384	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	3	0.934908	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	1094	340.929666	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.311636	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	19	5.921082	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.311636	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	24	7.479261	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	82	25.554143	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	47	14.646887	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.311636	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	27	8.414169	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	1099	342.487845	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	3060	953.605830	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	17593	5482.610250	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	361	112.500557	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.311636	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	2	0.623272	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	9	2.804723	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	15	4.674538	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	49	15.270159	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.311636	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	2	0.623272	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112825:+	1	0.311636	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113672-46113691:+	1	0.311636	N	precursor
hsa-let-7b	hg38:chr22:46113690-46113714:+	1	0.311636	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	3	0.934908	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	13	4.051267	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	338	105.332932	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	8083	2518.952916	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	5302	1652.293500	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	24014	7483.624313	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	4063	1266.176630	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	5	1.558179	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	3	0.934908	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	1	0.311636	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	4	1.246544	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	12	3.739631	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	55	17.139974	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	1	0.311636	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	1	0.311636	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	2	0.623272	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	15	4.674538	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	14	4.362902	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	18	5.609446	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	1	0.311636	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	32	9.972349	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	196	61.080635	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	229	71.364619	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	2561	798.099520	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	118	36.773035	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	2	0.623272	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	1	0.311636	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539903:+	1	0.311636	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	4	1.246544	N	mature,MIMAT0026472
