miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.391414	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	8	3.131313	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	18	7.045454	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.391414	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	40	15.656564	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	992	388.282784	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	4116	1611.060423	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	30255	11842.233503	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	807	315.871176	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	29	11.351009	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175992:+	1	0.391414	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	4	1.565656	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175986:+	1	0.391414	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	3	1.174242	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.391414	N	stemloop
hsa-let-7a-1	hg38:chr9:94176008-94176030:+	1	0.391414	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	5	1.957070	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	39	15.265150	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	57	22.310604	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	3	1.174242	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.391414	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.391414	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	4	1.565656	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	2	0.782828	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	4	1.565656	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	6	2.348485	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.391414	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	20	7.828282	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	768	300.606026	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	1	0.391414	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	3	1.174242	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.391414	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	3	1.174242	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	30020	11750.251190	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	0.782828	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	4058	1588.358405	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	3	1.174242	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	967	378.497432	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.391414	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	34	13.308079	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	2	0.782828	N	precursor
hsa-let-7a-3	hg38:chr22:46112750-46112772:+	1	0.391414	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.391414	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	19	7.436868	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	107	41.881308	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	205	80.239890	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	4	1.565656	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	30	11.742423	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	973	380.845916	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	4088	1600.100828	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	29927	11713.849679	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	748	292.777745	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	7	2.739899	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112777:+	2	0.782828	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112778:+	2	0.782828	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	1	0.391414	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	2	0.782828	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	1	0.391414	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	5	1.957070	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	2	0.782828	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112778:+	2	0.782828	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112783:+	1	0.391414	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	5	1.957070	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	32	12.525251	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	79	30.921714	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.391414	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	2	0.782828	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.391414	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	6	2.348485	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	3	1.174242	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	1	0.391414	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112825:+	2	0.782828	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113688-46113712:+	1	0.391414	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113688-46113713:+	1	0.391414	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113689-46113713:+	1	0.391414	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113690-46113713:+	2	0.782828	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113690-46113714:+	1	0.391414	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	3	1.174242	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	14	5.479797	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	513	200.795432	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	14105	5520.895837	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	8714	3410.782441	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	51798	20274.467393	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	12859	5033.193872	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	27	10.568181	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113716:+	3	1.174242	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113717:+	1	0.391414	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113718:+	2	0.782828	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	5	1.957070	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	7	2.739899	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	1	0.391414	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	2	0.782828	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	5	1.957070	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	6	2.348485	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	3	1.174242	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	1	0.391414	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113739-46113764:+	1	0.391414	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	17	6.654040	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	124	48.535348	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	1	0.391414	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539859:+	1	0.391414	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	5	1.957070	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	3	1.174242	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	4	1.565656	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	7	2.739899	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	60	23.484846	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	67	26.224744	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	986	385.934300	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	93	36.401511	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	3	1.174242	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	1	0.391414	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539904:+	2	0.782828	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	9	3.522727	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	1	0.391414	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178859:+	2	0.782828	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	14	5.479797	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	35	13.699493	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	268	104.898978	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	49	19.179291	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	3	1.174242	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	1	0.391414	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178844-94178863:+	1	0.391414	N	mature,MIMAT0000065
