miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.164984	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.164984	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	3	0.494951	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	1	0.164984	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	24	3.959605	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	54	8.909112	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2183	360.159110	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	5822	960.534283	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	27243	4494.647108	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1088	179.502113	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	49	8.084194	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	1	0.164984	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.164984	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	4	0.659934	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.164984	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.164984	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.164984	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.164984	N	stemloop
hsa-let-7a-1	hg38:chr9:94176012-94176033:+	1	0.164984	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	3	0.494951	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	22	3.629638	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	21	3.464655	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.164984	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	4	0.659934	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176035:+	1	0.164984	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	29	4.784523	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	6	0.989901	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	3	0.494951	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	16	2.639737	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1097	180.986965	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146591:-	1	0.164984	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	1	0.164984	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	3	0.494951	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	2	0.329967	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	26827	4426.013948	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	14	2.309770	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.164984	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	2	0.329967	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	6008	991.221225	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	20	3.299671	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	2090	344.815639	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	6	0.989901	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	57	9.404063	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.164984	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	4	0.659934	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	56	9.239079	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	108	17.818224	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	112	18.478159	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	9	1.484852	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	71	11.713833	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	2122	350.095113	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	5916	976.042737	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	27354	4512.960284	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1181	194.845584	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	8	1.319868	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	2	0.329967	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	3	0.494951	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	2	0.329967	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	11	1.814819	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	1	0.164984	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112795-46112817:+	1	0.164984	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	3	0.494951	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	14	2.309770	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	24	3.959605	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.164984	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	3	0.494951	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	1	0.164984	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113672-46113691:+	1	0.164984	N	precursor
hsa-let-7b	hg38:chr22:46113691-46113708:+	10	1.649836	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	14	2.309770	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	398	65.663457	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	9094	1500.360489	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	8369	1380.747409	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	28718	4737.997859	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	8133	1341.811289	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	13	2.144786	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113720:+	1	0.164984	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	2	0.329967	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	8	1.319868	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	3	0.494951	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	1	0.164984	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	1	0.164984	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113712:+	1	0.164984	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113714:+	1	0.164984	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	2	0.329967	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113721-46113745:+	1	0.164984	N	stemloop
hsa-let-7b	hg38:chr22:46113744-46113765:+	1	0.164984	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	8	1.319868	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	33	5.444457	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	1	0.164984	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539837-16539857:+	1	0.164984	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	10	1.649836	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	16	2.639737	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	16	2.639737	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	2	0.329967	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	21	3.464655	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	175	28.872123	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	317	52.299788	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	1567	258.529238	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	96	15.838422	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	2	0.329967	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	1	0.164984	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539858:+	1	0.164984	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539904:+	5	0.824918	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	15	2.474753	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	1	0.164984	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178840-94178863:+	1	0.164984	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178857:+	1	0.164984	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178859:+	3	0.494951	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	1	0.164984	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	60	9.899014	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	120	19.798027	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	660	108.889149	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	81	13.363668	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	1	0.164984	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	10	1.649836	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178863:+	1	0.164984	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178845-94178863:+	1	0.164984	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178848-94178864:+	1	0.164984	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178911:+	1	0.164984	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178913:+	1	0.164984	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178914:+	1	0.164984	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	32	5.279474	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	128	21.117896	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	769	126.872357	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	3	0.494951	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	3	0.494951	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	4	0.659934	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	65	10.723931	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178918:+	3	0.494951	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178898-94178917:+	1	0.164984	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692793-51692811:+	12	1.979803	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	1	0.164984	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	170	28.047205	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	887	146.340417	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	4105	677.257511	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	198	32.666745	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	14	2.309770	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692818:+	1	0.164984	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692816:+	1	0.164984	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692817:+	2	0.329967	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692837-51692857:+	1	0.164984	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692837-51692860:+	1	0.164984	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692856:+	1	0.164984	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	13	2.144786	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	41	6.764326	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176331-94176353:+	1	0.164984	N	precursor
hsa-let-7f-1	hg38:chr9:94176353-94176369:+	15	2.474753	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	25	4.124589	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	11	1.814819	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	410	67.643259	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	2358	389.031233	N	mature,MIMAT0000067
