miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175938-94175962:+	1	0.357086	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	3	1.071257	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	2	0.714171	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	1	0.357086	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	8	2.856685	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	64	22.853478	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2851	1018.051034	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	5971	2132.158093	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	15843	5657.307096	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	765	273.170481	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	53	18.925537	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.357086	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	2	0.714171	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	1	0.357086	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.357086	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.357086	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	3	1.071257	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	15	5.356284	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	8	2.856685	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.357086	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	3	1.071257	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	1	0.357086	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	4	1.428342	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	1	0.357086	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146545:-	1	0.357086	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	22	7.855883	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	790	282.097621	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	3	1.071257	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	2	0.714171	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	15886	5672.661777	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.357086	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.357086	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.357086	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	5809	2074.310227	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	2	0.714171	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.357086	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	2829	1010.195151	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.357086	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	78	27.852676	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.357086	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112768:+	1	0.357086	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	11	3.927942	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	31	11.069653	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	19	6.784626	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	74	26.424334	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	2842	1014.837264	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	5938	2120.374269	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	15728	5616.242253	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	798	284.954306	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	2	0.714171	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112782:+	1	0.357086	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	2	0.714171	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	1	0.357086	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	3	1.071257	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	1	0.357086	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	1	0.357086	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	3	1.071257	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.357086	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	1	0.357086	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112817:+	1	0.357086	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	1	0.357086	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	2	0.714171	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	11	3.927942	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	6	2.142514	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.357086	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	1	0.357086	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113671-46113691:+	1	0.357086	N	precursor
hsa-let-7b	hg38:chr22:46113691-46113708:+	7	2.499599	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	16	5.713370	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	579	206.752560	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	7394	2640.290896	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	4159	1485.118993	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	8980	3206.628651	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	2437	870.217597	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	3	1.071257	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	1	0.357086	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	4	1.428342	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	2	0.714171	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	2	0.714171	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	2	0.714171	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113711:+	1	0.357086	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113712:+	1	0.357086	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113713:+	1	0.357086	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	2	0.714171	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	8	2.856685	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	28	9.998397	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539837-16539857:+	3	1.071257	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	15	5.356284	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	24	8.570054	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	20	7.141712	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	2	0.714171	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	62	22.139307	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	432	154.260977	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	621	221.750155	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	3199	1142.316821	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	363	129.622071	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	3	1.071257	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	2	0.714171	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539903:+	2	0.714171	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	17	6.070455	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	60	21.425136	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	1	0.357086	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178840-94178861:+	1	0.357086	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178857:+	1	0.357086	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	1	0.357086	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	78	27.852676	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	125	44.635699	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	373	133.192927	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	70	24.995992	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	2	0.714171	N	mature,MIMAT0000065
