miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175961:+	1	0.166092	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.166092	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.332184	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	10	1.660921	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	176	29.232205	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	5881	976.787470	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	11030	1831.995545	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	15350	2549.513292	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	262	43.516123	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	4	0.664368	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.166092	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	2	0.332184	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	4	0.664368	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	8	1.328737	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	23	3.820118	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	2	0.332184	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	2	0.332184	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	7	1.162644	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176009:+	1	0.166092	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	2	0.332184	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	30	4.982762	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	92	15.280471	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	46	7.640235	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	1	0.166092	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.166092	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	4	0.664368	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	5	0.830460	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.166092	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	19	3.155749	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	8	1.328737	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.166092	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	4	0.664368	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.166092	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	2	0.332184	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	243	40.360373	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	3	0.498276	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	24	3.986210	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	8	1.328737	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	15249	2532.737993	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	0.332184	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	2	0.332184	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	11	1.827013	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	7	1.162644	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	11065	1837.808767	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	1	0.166092	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	2	0.332184	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	5894	978.946667	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	3	0.498276	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	203	33.716690	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.166092	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	2	0.332184	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	3	0.498276	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.166092	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	40	6.643683	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	106	17.605760	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	37	6.145407	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	197	32.720138	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	5711	948.551818	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	11006	1828.009335	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	15412	2559.811001	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	249	41.356926	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.166092	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	0.166092	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	1	0.166092	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	6	0.996552	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	6	0.996552	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	19	3.155749	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	6	0.996552	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	1	0.166092	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	1	0.166092	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112797-46112821:+	1	0.166092	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	20	3.321841	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	63	10.463800	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	50	8.304604	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112820:+	1	0.166092	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	2	0.332184	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.166092	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	9	1.494829	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112822:+	2	0.332184	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	1	0.166092	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113670-46113691:+	1	0.166092	N	precursor
hsa-let-7b	hg38:chr22:46113691-46113708:+	11	1.827013	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	19	3.155749	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	828	137.524235	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	20795	3453.884619	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	8305	1379.394651	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	13690	2273.800454	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	1605	266.577774	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	1	0.166092	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113710:+	1	0.166092	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	7	1.162644	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	2	0.332184	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	5	0.830460	N	mature,MIMAT0000063
