miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	4	0.735620	N	precursor
hsa-let-7a-1	hg38:chr9:94175944-94175962:+	1	0.183905	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	3	0.551715	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	9	1.655145	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	12	2.206860	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.183905	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	142	26.114510	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	4216	775.343489	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	13477	2478.487712	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	33546	6169.277198	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	514	94.527171	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	8	1.471240	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	6	1.103430	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.183905	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	3	0.551715	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	3	0.551715	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	9	1.655145	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.183905	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	2	0.367810	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.183905	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.367810	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.183905	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.183905	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.183905	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.183905	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.183905	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	9	1.655145	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	30	5.517150	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	24	4.413720	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	1	0.183905	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	0.367810	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.367810	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.183905	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	2	0.367810	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	21	3.862005	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	5	0.919525	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.183905	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146547:-	1	0.183905	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146548:-	1	0.183905	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	8	1.471240	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.183905	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	496	91.216881	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.183905	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	4	0.735620	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	15	2.758575	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	6	1.103430	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	33274	6119.255038	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	5	0.919525	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	1	0.183905	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	5	0.919525	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	13427	2469.292462	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	5	0.919525	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146588:-	1	0.183905	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	2	0.367810	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	4120	757.688608	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	3	0.551715	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	134	24.643270	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	10	1.839050	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	2	0.367810	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	3	0.551715	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	3	0.551715	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	3	0.551715	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	55	10.114775	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	112	20.597360	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	45	8.275725	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	135	24.827175	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	4121	757.872513	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	13476	2478.303807	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	33803	6216.540784	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	485	89.193926	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	8	1.471240	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.183905	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	2	0.367810	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	6	1.103430	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	12	2.206860	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	1	0.183905	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	5	0.919525	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	1	0.183905	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112818:+	1	0.183905	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	10	1.839050	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	39	7.172295	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	14	2.574670	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.183905	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	3	0.551715	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	1	0.183905	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	1	0.183905	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113672-46113691:+	1	0.183905	N	precursor
hsa-let-7b	hg38:chr22:46113691-46113708:+	14	2.574670	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	32	5.884960	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	785	144.365427	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	12657	2327.685611	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	10206	1876.934451	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	21150	3889.590793	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	2011	369.832959	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	3	0.551715	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113710:+	1	0.183905	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	1	0.183905	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	2	0.367810	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	11	2.022955	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	3	0.551715	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113711:+	1	0.183905	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	5	0.919525	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	1	0.183905	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	16	2.942480	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	64	11.769920	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539858:+	4	0.735620	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	2	0.367810	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	4	0.735620	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	18	3.310290	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	27	4.965435	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	17	3.126385	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	156	28.689180	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	868	159.629542	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	1210	222.525052	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	4917	904.260895	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	112	20.597360	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	2	0.367810	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	2	0.367810	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	5	0.919525	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539843-16539863:+	1	0.183905	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539903:+	2	0.367810	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	12	2.206860	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	27	4.965435	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178840-94178863:+	1	0.183905	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178859:+	1	0.183905	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	139	25.562795	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	223	41.010815	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	427	78.527436	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	21	3.862005	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	2	0.367810	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	5	0.919525	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178864:+	3	0.551715	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178845-94178862:+	1	0.183905	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178846-94178868:+	1	0.183905	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178847-94178863:+	1	0.183905	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178910:+	1	0.183905	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178911:+	1	0.183905	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178912:+	1	0.183905	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178913:+	7	1.287335	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178914:+	6	1.103430	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	118	21.700790	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	292	53.700261	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	756	139.032182	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	1	0.183905	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	6	1.103430	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	18	3.310290	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	92	16.919260	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178918:+	1	0.183905	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178897-94178917:+	1	0.183905	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692772-51692793:+	2	0.367810	N	precursor
hsa-let-7e	hg38:chr19:51692773-51692793:+	2	0.367810	N	precursor
hsa-let-7e	hg38:chr19:51692775-51692793:+	1	0.183905	N	precursor
hsa-let-7e	hg38:chr19:51692793-51692810:+	4	0.735620	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692811:+	25	4.597625	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	27	4.965435	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	629	115.676246	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	2417	444.498390	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	6157	1132.303098	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	220	40.459100	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	13	2.390765	N	mature,MIMAT0000066
